student_number,student_id,rdm_condition,condition_assignment,FH2T,DragonBox,Instant,Delay,initial_school_id,virtual,initial_teacher_id,initial_teacher_class,initial_section_number,final_school_id,final_teacher_id,final_teacher_class,final_section_number,courseName,movement,stay_INPERSON,stay_VIRTUAL,INP_VIR,VIR_INP,KEEP,student_raceEthnicityFed,student_hispanicEthnicity,FEMALE,MALE,ScaleScore_5th grade,PerformanceLevel_5th grade,Scale.Score_7th.grade,Performance.Level_7th.grade,math_score_7th.grade,EIP,EL_PARENT_DENIED,ESOL_C,ESOL_FORMER,ESOL,GIFTED,IEP,IST,LEPM1,LEPM2,LEPM3,LEPM4,SECTION504,SST,IN5,AbsentDays5,PresentDays5,UnexcusedDays5,MOBILE5,G5SCHOOL,G5SCHOOL2,G5SCHOOL3,MEMBERSHIPDAYS5,ADM5,ADA5,Absencesavg.Daily5,PercentInAttendance5,IN6,AbsentDays6,PresentDays6,UnexcusedDays6,MOBILE6,G6SCHOOL,G6SCHOOL2,G6SCHOOL3,MEMBERSHIPDAYS6,ADM6,ADA6,Absencesavg.Daily6,PercentInAttendance6,fidelity_started_sum,fidelity_complete_sum,fidelity_complete_percent,pre.total_math_score,pre.percentage_math_score,pre.sub_P_score,pre.sub_C_score,pre.sub_F_score,pre.math_completed_num,pre.math_completed_percent,pre.total_time_on_tasks,pre.avg_time_on_tasks,pre_MA_total_score,pre_MA_avg_score,pre_negative_reaction_score,pre_numerical_confindence_score,pre_worry_score,pre_MSE_total_score,pre_MSE_avg_score,pre_PS_tasks_total_score,pre_PS_completed_num,pre_PS_completed_percent,pre_PS_total_RT_sec,pre_PS_total_RT_min,pre_PS_avg_RT_sec,mid.total_math_score,mid.percentage_math_score,mid.sub_P_score,mid.sub_C_score,mid.sub_F_score,mid.math_completed_num,mid.math_completed_percent,mid.total_time_on_tasks,mid.avg_time_on_tasks,mid_MA_total_score,mid_MA_avg_score,mid_negative_reaction_score,mid_numerical_confindence_score,mid_worry_score,mid_PS_tasks_total_score,mid_PS_completed_num,mid_PS_completed_percent,mid_PS_total_RT_sec,mid_PS_total_RT_min,mid_PS_avg_RT_sec,post.total_math_score,post.percentage_math_score,post.sub_P_score,post.sub_C_score,post.sub_F_score,post.math_completed_num,post.math_completed_percent,post.total_time_on_tasks,post.avg_time_on_tasks,post_MA_total_score,post_MA_avg_score,post_negative_reaction_score,post_numerical_confindence_score,post_worry_score,post_MSE_total_score,post_MSE_avg_score,post_PS_tasks_total_score,post_PS_completed_num,post_PS_completed_percent,post_PS_total_RT_sec,post_PS_total_RT_min,post_PS_avg_RT_sec,delayed.total_math_score,delayed.percentage_math_score,delayed.sub_P_score,delayed.sub_C_score,delayed.sub_F_score,delayed.math_completed_num,delayed.math_completed_percent,delayed.total_time_on_tasks,delayed.avg_time_on_tasks,delayed_PS_tasks_total_score,delayed_PS_completed_num,delayed_PS_completed_percent,delayed_PS_total_RT_sec,delayed_PS_total_RT_min,delayed_PS_avg_RT_sec,started_intro_survey,complete_intro_survey,started_assignment_2,complete_assignment_2,started_assignment_3,complete_assignment_3,started_assignment_4,complete_assignment_4,started_assignment_5,complete_assignment_5,started_common_mid,complete_common_mid,started_assignment_7,complete_assignment_7,started_assignment_8,complete_assignment_8,started_assignment_9,complete_assignment_9,started_assignment_10,complete_assignment_10,started_assignment_11,complete_assignment_11,started_closing_survey,complete_closing_survey,started_delayed_posttest,complete_delayed_posttest
114263,F7S0101-101,FH2T,FH2T,1,0,0,0,S01,0,F7T0101,F7T0101-1,2,S01,F7T0101,F7T0101-1,2,Accelerated Mathematics,INPERSON,1,0,0,0,1,6,N,0,1,725,Distinguished Learner,591,Distinguished Learner,,0,0,0,0,0,1,0,0,0,0,,,0,0,1,3.68,175.32,2.76,1,BRANDYWYNE,,,179,1,0.98,0.02,97.94,1,2.74,175.26,2.74,1,DMS,,,178,1,0.98,0.02,98.46,12,12,0.9230769231,9,90,3,3,3,10,100,511.321,51.1321,6,0.6666666667,0,1,5,23,4.6,8,16,100,343.375573,5.722926217,21.46097331,9,90,2,4,3,10,100,505.924,50.5924,8,0.8888888889,1,1,6,11,16,100,344.501766,5.7416961,21.53136038,9,90,3,3,3,10,100,506.89,50.689,5,0.5555555556,0,1,4,21,4.2,10,16,100,254.882068,4.248034467,15.93012925,10,100,3,4,3,10,100,305.821,30.5821,11,16,100,228.011398,3.800189967,14.25071238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
118383,F7S0101-102,BAU,Delay,0,0,0,1,S01,0,F7T0101,F7T0101-1,2,S01,F7T0101,F7T0101-1,2,Accelerated Mathematics,INPERSON,1,0,0,0,1,3,N,1,0,678,Distinguished Learner,538,Proficient Learner,,0,0,0,0,0,0,0,0,0,0,,,1,0,1,2,177,1,1,MIDWAY,,,179,1,0.99,0.01,98.88,1,0.91,177.09,0.34,1,DMS,,,178,1,0.99,0,99.49,13,13,1,6,60,3,2,1,10,100,965.834,96.5834,20,2.222222222,4,7,9,12,2.4,9,16,100,448.091602,7.468193367,28.00572513,5,50,1,2,2,10,100,657.195,65.7195,22,2.444444444,6,9,7,7,16,100,135.346202,2.255770033,8.459137625,6,60,2,2,2,10,100,603.065,60.3065,21,2.333333333,4,9,8,16,3.2,6,16,100,68.735198,1.145586633,4.295949875,5,50,2,1,2,10,100,363.538,36.3538,5,16,100,91.049858,1.517497633,5.690616125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118804,F7S0101-103,BAU,Delay,0,0,0,1,S01,0,F7T0101,F7T0101-1,2,S01,F7T0101,F7T0101-1,2,Accelerated Mathematics,INPERSON,1,0,0,0,1,1,Y,0,1,585,Distinguished Learner,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,11.04,167.96,6.44,1,BRANDYWYNE,,,179,1,0.94,0.04,93.83,1,1.86,176.14,1.75,1,DMS,,,178,1,0.99,0.01,98.96,12,11,0.8461538462,7,70,1,4,2,10,100,566.07,56.607,20,2.222222222,8,4,8,24,4.8,6,16,100,285.036419,4.750606983,17.81477619,8,80,2,3,3,10,100,650.663,65.0663,17,1.888888889,6,4,7,9,16,100,312.358923,5.20598205,19.52243269,10,100,3,4,3,10,100,991.214,99.1214,18,2,4,6,8,20,4,7,16,100,542.487416,9.041456933,33.9054635,9,90,3,4,2,10,100,659.51,65.951,7,16,100,115.393762,1.923229367,7.212110125,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
120354,F7S0101-105,FH2T,FH2T,1,0,0,0,S01,0,F7T0101,F7T0101-1,2,S01,F7T0101,F7T0101-1,2,Accelerated Mathematics,INPERSON,1,0,0,0,1,6,N,0,1,617,Distinguished Learner,635,Distinguished Learner,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,4,175,2,1,BIG CREEK,,,179,1,0.98,0.01,97.77,1,0.62,177.38,0.62,1,DMS,,,178,1,1,0,99.65,13,12,0.9230769231,8,80,2,4,2,10,100,482.304,48.2304,5,0.5555555556,0,1,4,21,4.2,11,16,100,614.904876,10.2484146,38.43155475,8,80,2,3,3,10,100,384.093,38.4093,3,0.3333333333,0,1,2,13,16,100,389.648757,6.49414595,24.35304731,9,90,2,4,3,10,100,430.568,43.0568,2,0.2222222222,0,0,2,22,4.4,9,16,100,382.702271,6.378371183,23.91889194,9,90,3,3,3,10,100,412.186,41.2186,11,16,100,272.510436,4.5418406,17.03190225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
122443,F7S0101-107,Dragon,DragonBox,0,1,0,0,S01,0,F7T0101,F7T0101-1,2,S01,F7T0101,F7T0101-1,2,Accelerated Mathematics,INPERSON,1,0,0,0,1,3,N,0,1,725,Distinguished Learner,672,Distinguished Learner,,0,0,0,0,0,1,0,0,0,0,,,0,0,1,0,179,0,1,MIDWAY,,,179,1,1,0,100,1,3.21,174.79,0.11,1,DMS,,,178,1,0.98,0,98.2,13,11,0.8461538462,9,90,2,4,3,10,100,247.768,24.7768,2,0.2222222222,0,0,2,22,4.4,14,16,100,284.461456,4.741024267,17.778841,10,100,3,4,3,10,100,172.68,17.268,6,0.6666666667,1,1,4,11,16,100,297.522478,4.958707967,18.59515488,10,100,3,4,3,10,100,178.425,17.8425,3,0.3333333333,0,1,2,22,4.4,14,16,100,206.960593,3.449343217,12.93503706,10,100,3,4,3,10,100,239.316,23.9316,14,16,100,196.467781,3.274463017,12.27923631,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
124687,F7S0101-108,Dragon,DragonBox,0,1,0,0,S01,0,F7T0101,F7T0101-1,2,S01,F7T0101,F7T0101-1,2,Accelerated Mathematics,INPERSON,1,0,0,0,1,3,N,1,0,591,Distinguished Learner,597,Distinguished Learner,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,9,170,5,1,MIDWAY,,,179,1,0.95,0.03,94.97,1,4.7,173.3,4.7,1,DMS,,,178,1,0.97,0.03,97.36,12,11,0.8461538462,9,90,2,4,3,10,100,561.503,56.1503,14,1.555555556,1,6,7,16,3.2,11,16,100,381.721086,6.3620181,23.85756788,10,100,3,4,3,10,100,395.101,39.5101,15,1.666666667,2,6,7,15,16,100,325.348561,5.422476017,20.33428506,9,90,3,3,3,10,100,336.342,33.6342,17,1.888888889,3,6,8,12,2.4,9,16,100,222.990771,3.71651285,13.93692319,9,90,3,3,3,10,100,209.806,20.9806,10,16,100,162.792681,2.71321135,10.17454256,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1
133692,F7S0101-109,ASSISTments,Instant,0,0,1,0,S01,0,F7T0101,F7T0101-1,2,S01,F7T0101,F7T0101-1,2,Accelerated Mathematics,INPERSON,1,0,0,0,1,6,N,0,1,648,Distinguished Learner,586,Distinguished Learner,,0,0,0,0,0,1,0,0,0,0,,,0,0,1,10,169,3,1,MIDWAY,,,179,1,0.94,0.02,94.41,1,4.96,173.04,4.13,1,DMS,,,178,1,0.97,0.02,97.21,12,12,0.9230769231,6,60,2,3,1,10,100,808.287,80.8287,7,0.7777777778,0,3,4,23,4.6,12,16,100,714.723413,11.91205688,44.67021331,7,70,3,2,2,10,100,875.709,87.5709,6,0.6666666667,1,1,4,9,16,100,446.460318,7.4410053,27.90376988,10,100,3,4,3,10,100,737.72,73.772,11,1.222222222,0,3,8,19,3.8,13,16,100,346.665777,5.77776295,21.66661106,8,80,3,3,2,10,100,304.605,30.4605,7,16,100,62.268619,1.037810317,3.891788688,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
134647,F7S0101-110,FH2T,FH2T,1,0,0,0,S01,0,F7T0101,F7T0101-1,2,S01,F7T0101,F7T0101-1,2,Accelerated Mathematics,INPERSON,1,0,0,0,1,6,N,1,0,686,Distinguished Learner,644,Distinguished Learner,,0,0,0,0,0,1,0,0,0,0,,,0,0,1,4,175,0,1,MIDWAY,,,179,1,0.98,0,97.77,1,2.55,175.45,0.85,1,DMS,,,178,1,0.99,0,98.57,13,13,1,9,90,3,3,3,10,100,765.927,76.5927,17,1.888888889,2,7,8,15,3,10,16,100,727.036075,12.11726792,45.43975469,7,70,2,2,3,10,100,540.265,54.0265,14,1.555555556,1,5,8,12,16,100,371.72556,6.195426,23.2328475,10,100,3,4,3,10,100,345.125,34.5125,16,1.777777778,3,5,8,19,3.8,10,16,100,262.574105,4.376235083,16.41088156,9,90,3,4,2,10,100,384.631,38.4631,10,16,100,188.696934,3.1449489,11.79355838,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169255,F7S0103-311,Dragon,DragonBox,0,1,0,0,S01,0,F7T0103,F7T0103-3,36,S01,F7T0104,F7T0104-1,21,Mathematics,INPERSON,1,0,0,0,1,1,Y,0,1,,,540,Proficient Learner,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,0.3846153846,3,30,2,0,1,10,100,809.742,80.9742,19,2.111111111,3,8,8,10,2,5,16,100,429.045064,7.150751067,26.8153165,,,,,,,,,,,,,,,,,,,,,6,60,2,3,1,10,100,796,79.6,17,1.888888889,5,7,5,17,3.4,6,16,100,501.65954,8.360992333,31.35372125,5,50,0,4,1,10,100,566.569,56.6569,5,16,100,272.837284,4.547288067,17.05233025,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1
112135,F7S0104-101,Dragon,DragonBox,0,1,0,0,S01,0,F7T0104,F7T0104-1,21,S01,F7T0104,F7T0104-3,26,Mathematics,INPERSON,1,0,0,0,1,1,Y,0,1,508,Developing Learner,478,Developing Learner,71,1,0,0,0,1,0,0,1,0,0,,,0,0,1,11.96,167.04,6.44,1,BRANDYWYNE,,,179,1,0.93,0.04,93.32,1,3.27,174.73,2.01,1,DMS,,,178,1,0.98,0.01,98.16,11,9,0.6923076923,4,40,1,1,2,10,100,747.353,74.7353,7,0.7777777778,2,4,1,20,4,3,16,100,70.895675,1.181594583,4.430979688,5,50,2,2,1,10,100,547.773,54.7773,14,1.555555556,4,6,4,4,16,100,143.333534,2.388892233,8.958345875,1,10,0,1,0,10,100,404.414,40.4414,8,0.8888888889,2,4,2,14,2.8,4,16,100,134.946538,2.249108967,8.434158625,2,20,0,1,1,10,100,253.784,25.3784,6,16,100,25.16842,0.4194736667,1.57302625,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1
112163,F7S0104-102,ASSISTments,Instant,0,0,1,0,S01,0,F7T0104,F7T0104-2,22,S01,F7T0107,F7T0107-1,47,Mathematics,INPERSON,1,0,0,0,1,1,Y,0,1,446,Beginning Learner,488,Developing Learner,91,1,0,0,0,1,0,0,0,0,0,,,0,1,1,11.04,167.96,9.2,1,BRANDYWYNE,,,179,1,0.94,0.05,93.83,1,3.87,174.13,1.8,1,DMS,,,178,1,0.98,0.01,97.83,12,11,0.8461538462,2,20,1,1,0,10,100,425.745,42.5745,15,1.666666667,5,7,3,10,2,6,16,100,153.735401,2.562256683,9.608462563,3,30,2,1,0,10,100,224.785,22.4785,14,1.555555556,3,9,2,6,16,100,165.464627,2.757743783,10.34153919,2,20,1,1,0,10,100,86.142,8.6142,13,1.444444444,4,6,3,9,1.8,5,16,100,96.177475,1.602957917,6.011092188,4,40,2,1,1,10,100,75.884,7.5884,3,16,100,18.447787,0.3074631167,1.152986688,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
112286,F7S0104-103,ASSISTments,Instant,0,0,1,0,S01,0,F7T0104,F7T0104-2,22,S01,F7T0107,F7T0107-1,47,Mathematics,INPERSON,1,0,0,0,1,1,Y,1,0,488,Developing Learner,,,95,0,0,0,0,0,0,0,0,0,0,,,0,0,1,11.96,167.04,7.36,1,BRANDYWYNE,,,179,1,0.93,0.04,93.32,1,8.66,169.34,4.11,1,DMS,,,178,1,0.95,0.02,95.13,12,12,0.9230769231,3,30,2,0,1,10,100,704.097,70.4097,20,2.222222222,4,7,9,19,3.8,7,16,100,590.552974,9.842549567,36.90956088,4,40,2,2,0,10,100,374.628,37.4628,18,2,3,6,9,6,16,100,241.912047,4.03186745,15.11950294,4,40,1,2,1,10,100,53.572,5.3572,9,1,1,2,6,21,4.2,6,16,100,271.583596,4.526393267,16.97397475,4,40,1,1,2,10,100,75.449,7.5449,4,16,100,48.73885,0.8123141667,3.046178125,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
115251,F7S0104-104,FH2T,FH2T,1,0,0,0,S01,0,F7T0104,F7T0104-4,27,S01,F7T0104,F7T0104-4,27,Mathematics,INPERSON,1,0,0,0,1,6,N,0,1,561,Proficient Learner,,,88,0,0,0,0,0,0,0,0,0,0,,,0,0,1,12,167,11,1,BIG CREEK,,,179,1,0.93,0.06,93.3,1,4.84,173.16,2.77,1,DMS,,,178,1,0.97,0.02,97.28,12,11,0.8461538462,3,30,1,0,2,10,100,1013.787,101.3787,10,1.111111111,3,2,5,17,3.4,2,16,100,545.815561,9.096926017,34.11347256,2,20,0,0,2,10,100,1005.605,100.5605,7,0.7777777778,3,1,3,7,16,100,465.203528,7.753392133,29.0752205,5,50,2,2,1,10,100,449.293,44.9293,5,0.5555555556,2,1,2,21,4.2,5,16,100,377.735267,6.295587783,23.60845419,3,30,2,1,0,10,100,323.804,32.3804,5,16,100,276.393058,4.606550967,17.27456613,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
116664,F7S0104-105,Dragon,DragonBox,0,1,0,0,S01,0,F7T0104,F7T0104-3,26,S01,F7T0104,F7T0104-3,26,Mathematics,INPERSON,1,0,0,0,1,1,Y,0,1,488,Developing Learner,496,Developing Learner,86,0,0,0,0,0,0,0,0,0,0,,,0,1,1,2.76,176.24,1.84,1,BRANDYWYNE,,,179,1,0.98,0.01,98.46,1,2.88,175.12,2.54,1,DMS,,,178,1,0.98,0.01,98.38,9,9,0.6923076923,2,20,1,0,1,10,100,920.527,92.0527,15,1.666666667,4,2,9,15,3,5,16,100,592.816344,9.8802724,37.0510215,,,,,,,,,,,,,,,,,,,,,2,20,1,0,1,10,100,636.182,63.6182,12,1.333333333,3,2,7,12,2.4,8,16,100,225.163703,3.752728383,14.07273144,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
117803,F7S0104-106,FH2T,FH2T,1,0,0,0,S01,0,F7T0104,F7T0104-1,21,S01,F7T0104,F7T0104-1,21,Mathematics,INPERSON,1,0,0,0,1,1,Y,0,1,497,Developing Learner,492,Developing Learner,80,1,0,0,0,1,0,0,1,0,0,,,0,0,1,1.84,177.16,1.84,1,BRANDYWYNE,,,179,1,0.99,0.01,98.97,1,0.85,177.15,0.85,1,DMS,,,178,1,1,0,99.52,12,11,0.8461538462,3,30,2,0,1,10,100,609.945,60.9945,8,0.8888888889,2,3,3,8,1.6,5,16,100,497.712671,8.295211183,31.10704194,5,50,1,1,3,10,100,1251.565,125.1565,9,1,3,3,3,3,16,100,399.882482,6.664708033,24.99265513,3,30,1,1,1,10,100,1136.974,113.6974,10,1.111111111,2,2,6,10,2,3,16,100,418.239273,6.97065455,26.13995456,3,30,2,0,1,10,100,633.674,63.3674,7,16,100,323.098939,5.384982317,20.19368369,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1
118000,F7S0104-107,BAU,Delay,0,0,0,1,S01,0,F7T0104,F7T0104-1,21,S01,F7T0104,F7T0104-1,21,Mathematics,INPERSON,1,0,0,0,1,1,Y,0,1,555,Proficient Learner,536,Proficient Learner,85,0,0,0,0,1,0,0,0,0,0,,,0,0,1,2.76,176.24,1.84,1,BRANDYWYNE,,,179,1,0.98,0.01,98.46,1,4.18,173.82,3.25,1,DMS,,,178,1,0.98,0.02,97.65,11,11,0.8461538462,0,0,0,0,0,10,100,1499.747,149.9747,8,0.8888888889,2,3,3,17,3.4,4,16,100,162.286844,2.704780733,10.14292775,6,60,2,2,2,10,100,123.797,12.3797,8,0.8888888889,1,3,4,3,16,100,43.512161,0.7252026833,2.719510063,2,20,2,0,0,10,100,180.713,18.0713,11,1.222222222,3,4,4,19,3.8,9,16,100,83.091274,1.384854567,5.193204625,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
118051,F7S0104-108,Dragon,DragonBox,0,1,0,0,S01,0,F7T0104,F7T0104-1,21,S01,F7T0104,F7T0104-1,21,Mathematics,INPERSON,1,0,0,0,1,1,Y,1,0,534,Proficient Learner,530,Proficient Learner,80,0,0,0,0,1,0,0,0,0,0,,,0,0,1,2.76,176.24,0.92,1,BRANDYWYNE,,,179,1,0.98,0.01,98.46,1,1.63,176.37,0.85,1,DMS,,,178,1,0.99,0,99.08,13,9,0.6923076923,4,40,2,1,1,10,100,739.988,73.9988,14,1.555555556,4,7,3,13,2.6,5,16,100,348.395224,5.806587067,21.7747015,4,40,2,1,1,10,100,834.941,83.4941,13,1.444444444,3,6,4,5,16,100,275.71167,4.5951945,17.23197938,3,30,1,0,2,10,100,227.941,22.7941,19,2.111111111,5,9,5,10,2,7,16,100,143.961549,2.39935915,8.997596813,2,20,2,0,0,10,100,281.554,28.1554,8,16,100,218.100041,3.635000683,13.63125256,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1
118053,F7S0104-109,Dragon,DragonBox,0,1,0,0,S01,0,F7T0104,F7T0104-2,22,S01,F7T0104,F7T0104-2,22,Mathematics,INPERSON,1,0,0,0,1,1,Y,1,0,491,Developing Learner,510,Developing Learner,86,1,0,0,0,1,0,0,0,0,0,,,0,0,1,1,178,1,1,MIDWAY,,,179,1,0.99,0.01,99.44,1,0.47,177.53,0.47,1,DMS,,,178,1,1,0,99.74,12,12,0.9230769231,3,30,1,0,2,10,100,689.633,68.9633,15,1.666666667,1,7,7,21,4.2,4,16,100,349.572268,5.826204467,21.84826675,4,40,1,0,3,10,100,834.408,83.4408,13,1.444444444,1,7,5,6,16,100,195.628398,3.2604733,12.22677488,3,30,0,2,1,10,100,559.05,55.905,8,0.8888888889,0,6,2,25,5,6,16,100,260.805334,4.346755567,16.30033338,5,50,2,0,3,10,100,294.549,29.4549,5,16,100,274.513696,4.575228267,17.157106,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
118064,F7S0104-110,FH2T,FH2T,1,0,0,0,S01,0,F7T0104,F7T0104-2,22,S01,F7T0104,F7T0104-2,22,Mathematics,INPERSON,1,0,0,0,1,1,Y,0,1,488,Developing Learner,482,Developing Learner,76,0,0,0,0,1,0,0,0,0,0,,,0,0,1,0,179,0,1,BRANDYWYNE,,,179,1,1,0,100,1,5.56,172.44,5.56,1,DMS,,,178,1,0.97,0.03,96.88,12,11,0.8461538462,4,40,2,1,1,10,100,473.993,47.3993,12,1.333333333,3,4,5,16,3.2,5,15,93.75,71.604593,1.193409883,4.773639533,2,20,0,2,0,10,100,155.938,15.5938,15,1.666666667,4,5,6,3,16,100,54.513615,0.90856025,3.407100938,1,10,0,1,0,10,100,64.723,6.4723,12,1.333333333,3,4,5,13,2.6,6,16,100,66.680701,1.111345017,4.167543813,4,40,2,1,1,10,100,313.011,31.3011,4,16,100,83.869792,1.397829867,5.241862,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1
118074,F7S0104-111,FH2T,FH2T,1,0,0,0,S01,0,F7T0104,F7T0104-2,22,S01,F7T0104,F7T0104-2,22,Mathematics,INPERSON,1,0,0,0,1,1,Y,0,1,494,Developing Learner,500,Developing Learner,80,1,0,0,0,1,0,0,1,0,0,,,0,0,1,11.04,167.96,6.44,1,BRANDYWYNE,,,179,1,0.94,0.04,93.83,1,6.63,171.37,2.66,1,DMS,,,178,1,0.96,0.01,96.28,12,11,0.8461538462,3,30,1,0,2,10,100,533.285,53.3285,8,0.8888888889,2,3,3,20,4,6,16,100,223.996576,3.733276267,13.999786,3,30,2,0,1,10,100,897.046,89.7046,11,1.222222222,2,4,5,9,16,100,598.182067,9.969701117,37.38637919,2,20,1,0,1,10,100,322.002,32.2002,9,1,1,3,5,18,3.6,6,16,100,264.622032,4.4103672,16.538877,5,50,2,1,2,10,100,37.107,3.7107,4,16,100,31.141441,0.5190240167,1.946340063,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1
118127,F7S0104-112,FH2T,FH2T,1,0,0,0,S01,0,F7T0104,F7T0104-2,22,S01,F7T0107,F7T0107-1,47,Mathematics,INPERSON,1,0,0,0,1,1,Y,0,1,446,Beginning Learner,467,Beginning Learner,83,0,0,0,0,1,0,0,0,0,0,,,0,0,1,3.68,175.32,1.84,1,BRANDYWYNE,,,179,1,0.98,0.01,97.94,1,4.44,173.56,4.34,1,DMS,,,178,1,0.98,0.02,97.51,13,11,0.8461538462,2,20,1,0,1,10,100,696.31,69.631,16,1.777777778,6,7,3,20,4,4,16,100,690.720328,11.51200547,43.1700205,3,30,1,1,1,10,100,428.117,42.8117,15,1.666666667,6,7,2,5,16,100,456.423645,7.60706075,28.52647781,2,20,1,1,0,10,100,486.39,48.639,13,1.444444444,4,8,1,14,2.8,4,16,100,28.715502,0.4785917,1.794718875,5,50,3,1,1,10,100,138.287,13.8287,5,16,100,76.402453,1.273374217,4.775153313,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
118176,F7S0104-113,ASSISTments,Instant,0,0,1,0,S01,0,F7T0104,F7T0104-1,21,S01,F7T0104,F7T0104-1,21,Mathematics,INPERSON,1,0,0,0,1,1,Y,1,0,498,Developing Learner,508,Developing Learner,81,0,0,0,0,1,0,0,0,0,0,,,0,0,1,2.76,176.24,1.84,1,BRANDYWYNE,,,179,1,0.98,0.01,98.46,1,0,178,0,1,DMS,,,178,1,1,0,100,13,12,0.9230769231,3,30,2,0,1,10,100,1314.095,131.4095,18,2,4,6,8,14,2.8,5,16,100,272.545473,4.54242455,17.03409206,4,40,1,2,1,10,100,1026.626,102.6626,24,2.666666667,6,9,9,6,16,100,532.213945,8.870232417,33.26337156,3,30,0,1,2,10,100,932.831,93.2831,21,2.333333333,6,8,7,15,3,5,16,100,815.645916,13.5940986,50.97786975,1,10,0,0,1,10,100,945.386,94.5386,10,16,100,766.339626,12.7723271,47.89622663,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
118204,F7S0104-114,ASSISTments,Instant,0,0,1,0,S01,0,F7T0104,F7T0104-2,22,S01,F7T0104,F7T0104-2,22,Mathematics,INPERSON,1,0,0,0,1,1,Y,0,1,527,Proficient Learner,504,Developing Learner,78,1,0,0,0,1,0,0,1,0,0,,,0,0,1,0,179,0,1,BRANDYWYNE,,,179,1,1,0,100,1,2.92,175.08,0.79,1,DMS,,,178,1,0.98,0,98.36,10,9,0.6923076923,2,20,1,0,1,10,100,627.24,62.724,8,0.8888888889,0,3,5,19,3.8,5,16,100,107.541872,1.792364533,6.721367,6,60,2,2,2,10,100,812.324,81.2324,7,0.7777777778,2,1,4,4,16,100,119.35312,1.989218667,7.45957,4,40,1,3,0,10,100,356.648,35.6648,12,1.333333333,1,8,3,19,3.8,6,16,100,38.539931,0.6423321833,2.408745688,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0
